COUNTY_ID,COUNTY,TOWN_ID,TOWN,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
"10007","彰化縣","10007180","二水鄉",30,454,2711,1362,4422,1600,2332,23,234,"110Y"
"10007","彰化縣","10007190","北斗鎮",98,1382,7460,2827,9040,3797,3710,48,385,"110Y"
"10007","彰化縣","10007200","二林鎮",67,1560,9235,3842,13793,6768,5916,350,2220,"110Y"
"10007","彰化縣","10007210","田尾鄉",47,960,5724,2017,7387,3382,3536,42,513,"110Y"
"10007","彰化縣","10007220","埤頭鄉",41,933,5524,2096,7641,3702,3866,101,686,"110Y"
"10007","彰化縣","10007230","芳苑鄉",24,596,4811,2029,8842,5672,4799,147,2334,"110Y"
"10007","彰化縣","10007240","大城鄉",13,239,1998,892,3923,3647,2072,586,1141,"110Y"
"10007","彰化縣","10007250","竹塘鄉",19,391,2399,1013,3856,2332,2378,106,480,"110Y"
"10007","彰化縣","10007260","溪州鄉",44,816,5343,2125,8089,4833,3705,89,959,"110Y"
"10008","南投縣","10008010","南投市",475,5694,23707,11044,26106,10352,8569,70,584,"110Y"
"10008","南投縣","10008020","埔里鎮",318,3196,15200,6778,22972,11609,8909,74,591,"110Y"
"10008","南投縣","10008030","草屯鎮",376,5128,22205,10794,25226,10942,9319,101,797,"110Y"
"10008","南投縣","10008040","竹山鎮",129,1822,9284,4416,14224,7506,7507,605,7,"110Y"
"10008","南投縣","10008050","集集鎮",37,390,1841,928,2889,1874,1381,9,74,"110Y"
"10008","南投縣","10008060","名間鄉",66,1227,7003,3319,10630,5475,5616,80,235,"110Y"
"10008","南投縣","10008070","鹿谷鄉",49,597,3030,1437,4830,2767,2778,44,122,"110Y"
"10008","南投縣","10008080","中寮鄉",19,319,2150,1011,4185,2569,2357,33,285,"110Y"
"10008","南投縣","10008090","魚池鄉",48,402,2547,1127,4498,2800,2336,24,143,"110Y"
"10008","南投縣","10008100","國姓鄉",26,369,2693,1167,5135,3506,3029,28,326,"110Y"
"10008","南投縣","10008110","水里鄉",28,508,2746,1332,4885,3081,2451,29,210,"110Y"
"10008","南投縣","10008120","信義鄉",20,268,2357,1081,4803,2887,2009,47,59,"110Y"
"10008","南投縣","10008130","仁愛鄉",19,298,1993,1158,5928,1947,1711,25,43,"110Y"
"10009","雲林縣","10009010","斗六市",613,6515,26857,11375,27438,10271,10005,82,753,"110Y"
"10009","雲林縣","10009020","斗南鎮",136,2206,9765,4180,11342,4973,5898,55,298,"110Y"
"10009","雲林縣","10009030","虎尾鎮",331,3864,16062,6608,18238,7630,7711,378,206,"110Y"
"10009","雲林縣","10009040","西螺鎮",109,1746,8755,3424,12133,5922,6380,61,775,"110Y"
"10009","雲林縣","10009050","土庫鎮",63,923,5223,2140,7504,3695,4513,56,697,"110Y"
"10009","雲林縣","10009060","北港鎮",111,1654,7965,3374,10351,4953,5165,45,636,"110Y"
"10009","雲林縣","10009070","古坑鄉",80,1099,6027,2579,8005,4665,5108,37,192,"110Y"
"10009","雲林縣","10009080","大埤鄉",33,543,3424,1487,4959,2790,3104,38,412,"110Y"
"10009","雲林縣","10009090","莿桐鄉",51,886,5296,2207,7624,4021,4597,38,368,"110Y"
"10009","雲林縣","10009100","林內鄉",35,513,3333,1465,4938,2209,2696,34,249,"110Y"
"10009","雲林縣","10009110","二崙鄉",31,737,4107,1837,6586,4491,4739,29,802,"110Y"
"10009","雲林縣","10009120","崙背鄉",35,710,3824,1600,5866,4203,4195,66,682,"110Y"
